fips,facility_name,year,rated_capacity,total_confined_pop,adp,confined_women,confined_men,admissions_year,admissions_week,admissions_day,discharge_year,discharge_week,discharge_day
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1985,1864.0,2844.0,2767.0,364,2476.0,93086.0,,,92834.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1986,2496.0,3217.0,2913.0,375,2842.0,93998.0,,,93642.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1987,2775.0,3471.0,3250.0,464,3006.0,77747.0,,,76685.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1989,3478.0,4527.0,4281.0,585,3942.0,125325.0,,,122631.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1990,3478.0,4402.0,4370.0,510,3892.0,92899.0,,,93416.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1992,5289.0,4690.0,4688.0,495,4181.0,,,223.0,,,244.0
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1994,3821.0,4987.0,4836.0,539,4434.0,,,,,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1995,3821.0,5157.0,5074.0,620,4522.0,,,,,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1996,3821.0,5326.0,5143.0,673,5068.0,,,,,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1997,3821.0,5368.0,5246.0,716,4635.0,,,,,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1998,3821.0,5546.0,5374.0,710,4819.0,,1259.0,,,1274.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,1999,3812.0,4853.0,5194.0,601,4236.0,,1107.0,,,1064.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2000,3821.0,4982.0,4807.0,656,4315.0,,1204.0,,,1209.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2001,4109.0,4498.0,4792.0,594,3904.0,,1103.0,,,1206.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2002,5410.0,5086.0,4561.0,654,4432.0,,1256.0,,,1129.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2003,4517.0,5095.0,5096.0,649,4446.0,,1241.0,,,1275.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2004,4517.0,6117.0,5569.0,839,5278.0,,1497.0,,,1476.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2005,5782.0,6493.0,6067.0,903,5590.0,,1296.0,,,1372.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2006,,6353.0,6488.0,0,,,,,,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2007,7019.0,6841.0,,912,5929.0,,1152.0,,,1120.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2008,7019.0,6216.0,6000.0,854,5362.0,,1342.0,,,1168.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2009,7019.0,5990.0,6255.0,820,5170.0,,1202.0,,,1345.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2010,5063.0,4847.0,5134.0,642,4205.0,,1165.0,,,1280.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2011,5063.0,5899.0,5721.0,787,5112.0,,1314.0,,,1358.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2012,5094.0,6838.0,6847.0,895,5943.0,,1324.0,,,1288.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2013,5094.0,6924.0,6804.0,998,5926.0,,1269.0,,,1260.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2014,5094.0,6996.0,6890.0,1008,5988.0,,1166.0,,,1189.0,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2015,5094.0,5684.0,5754.0,693,4991.0,54727.0,,,55067.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2016,5093.0,6019.0,6076.0,831,5188.0,56293.0,,,56065.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2017,5093.0,,6115.0,733,5424.0,56265.0,,,53016.0,,
6059,ORANGE COUNTY SHERIFF'S DEPARTMENT,2018,5093.0,6639.0,6113.0,826,5813.0,60918.0,,,62680.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1985,278.0,269.0,287.0,18,247.0,10595.0,,,10558.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1986,410.0,261.0,319.0,18,237.0,11483.0,,,11332.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1987,485.0,337.0,353.0,29,302.0,8098.0,,,7074.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1989,622.0,497.0,447.0,54,439.0,11121.0,,,10628.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1990,641.0,457.0,438.0,42,411.0,11212.0,,,10755.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1992,632.0,340.0,369.0,32,302.0,,,23.0,,,14.0
12021,COLLIER COUNTY SHERIFFS OFFICE,1994,622.0,448.0,395.0,39,404.0,,,,,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1995,754.0,468.0,510.0,51,407.0,,,,,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1996,773.0,486.0,501.0,59,480.0,,,,,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1997,772.0,639.0,580.0,65,569.0,,,,,,
12021,COLLIER COUNTY SHERIFFS OFFICE,1998,754.0,628.0,684.0,67,553.0,,212.0,,,206.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,1999,754.0,594.0,630.0,64,526.0,,226.0,,,192.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2000,754.0,615.0,657.0,49,561.0,,303.0,,,320.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2001,754.0,688.0,702.0,72,615.0,,239.0,,,280.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2002,754.0,822.0,792.0,74,747.0,,291.0,,,52.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2003,774.0,1027.0,951.0,105,918.0,,369.0,,,357.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2004,780.0,991.0,1000.0,200,785.0,,49.0,,,65.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2005,774.0,1166.0,1092.0,139,1016.0,,432.0,,,426.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2006,,1198.0,1112.0,0,,,,,,,
12021,COLLIER COUNTY SHERIFFS OFFICE,2007,1292.0,1292.0,,135,1152.0,,1605.0,,,324.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2008,1292.0,1152.0,1210.0,129,1013.0,,333.0,,,365.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2009,1292.0,1021.0,1027.0,141,867.0,,284.0,,,263.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2010,1292.0,951.0,908.0,139,792.0,,283.0,,,261.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2011,1292.0,921.0,874.0,155,755.0,,197.0,,,188.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2012,1292.0,1013.0,964.0,154,845.0,,176.0,,,198.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2013,1112.0,838.0,900.0,0,,,,,,,
12021,COLLIER COUNTY SHERIFFS OFFICE,2014,1292.0,856.0,883.0,118,737.0,,202.0,,,104.0,
12021,COLLIER COUNTY SHERIFFS OFFICE,2015,1414.0,769.0,790.0,132,637.0,11263.0,,,10473.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,2016,1414.0,679.0,757.0,121,556.0,9358.0,,,9907.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,2017,1304.0,,742.0,121,661.0,8584.0,,,8594.0,,
12021,COLLIER COUNTY SHERIFFS OFFICE,2018,1304.0,857.0,826.0,139,711.0,8496.0,,,8414.0,,
16003,ADAMS COUNTY JAIL,1978,12.0,3.0,,0,3.0,,3.0,,,3.0,
16003,ADAMS COUNTY JAIL,1983,9.0,2.0,,0,2.0,138.0,,,138.0,,
16003,ADAMS COUNTY JAIL,1988,8.0,2.0,2.0,0,2.0,119.0,,,119.0,,
16003,ADAMS COUNTY JAIL,1991,6.0,4.0,4.0,1,3.0,272.0,,,270.0,,
16003,ADAMS COUNTY JAIL,1993,6.0,2.0,5.0,9999,99999.0,,,999.0,,,9999.0
16003,ADAMS COUNTY JAIL,1999,9.0,16.0,14.0,2,14.0,,9.0,,,6.0,
16003,ADAMS COUNTY JAIL,2005,32.0,26.0,25.0,23,3.0,,8.0,,,8.0,
16003,ADAMS COUNTY JAIL,2006,,28.0,26.0,0,,,,,,,
16003,ADAMS COUNTY JAIL,2013,31.0,25.0,24.0,0,,,,,,,
18097,MARION COUNTY JAIL,1985,776.0,877.0,855.0,75,772.0,12000.0,,,11859.0,,
18097,MARION COUNTY JAIL,1986,950.0,1141.0,1130.0,75,1051.0,13200.0,,,12936.0,,
18097,MARION COUNTY JAIL,1987,1101.0,1010.0,1089.0,73,923.0,11158.0,,,11154.0,,
18097,MARION COUNTY JAIL,1989,1120.0,1050.0,1049.0,68,969.0,11549.0,,,10499.0,,
18097,MARION COUNTY JAIL,1990,1120.0,1109.0,1263.0,74,1021.0,11600.0,,,10550.0,,
18097,MARION COUNTY JAIL,1992,1128.0,1100.0,1073.0,77,1008.0,,,115.0,,,117.0
18097,MARION COUNTY JAIL,1994,1145.0,1145.0,1160.0,103,1017.0,,,,,,
18097,MARION COUNTY JAIL,1996,1713.0,1707.0,1643.0,204,1449.0,,,,,,
18097,MARION COUNTY JAIL,1997,1713.0,1417.0,1400.0,155,1218.0,,,,,,
18097,MARION COUNTY JAIL,1998,1713.0,1988.0,1362.0,179,1786.0,,250.0,,,250.0,
18097,MARION COUNTY JAIL,2000,1639.0,1805.0,1680.0,293,1481.0,,,,,,
18097,MARION COUNTY JAIL,2001,2403.0,2514.0,2451.0,227,2251.0,,45.0,,,51.0,
18097,MARION COUNTY JAIL,2002,2405.0,2468.0,2467.0,236,2208.0,,1175.0,,,1208.0,
18097,MARION COUNTY JAIL,2003,2465.0,2720.0,2775.0,306,2399.0,,1425.0,,,1293.0,
18097,MARION COUNTY JAIL,2004,2510.0,2593.0,2470.0,323,2250.0,,1748.0,,,1804.0,
18097,MARION COUNTY JAIL,2006,2463.0,3114.0,3064.0,378,2701.0,,1155.0,,,918.0,
21007,BALLARD COUNTY DETENTION CENTER,1983,16.0,5.0,,0,5.0,1230.0,,,1230.0,,
21007,BALLARD COUNTY DETENTION CENTER,1988,13.0,9.0,8.0,0,9.0,345.0,,,338.0,,
